#separator:tab
#notetype:cubingalg+
#deck:Cubing::3x3x3::OLL
<img src="OCLL1 - 21.svg">	OCLL1 - 21	(R U R' U)(R U' R' U)(R U2 R')	3x3x3 OLL 2-Look-OLL
<img src="OCLL2 - 22.svg">	OCLL2 - 22	R U2 R2 U' R2 U' R2 U2 R	3x3x3 OLL 2-Look-OLL
<img src="OCLL3 - 23.svg">	OCLL3 - 23	R2 D (R' U2 R) D' (R' U2 R')	3x3x3 OLL 2-Look-OLL
<img src="OCLL4 - 24.svg">	OCLL4 - 24	(r U R' U') (r' F R F')	3x3x3 OLL 2-Look-OLL
<img src="OCLL5 - 25.svg">	OCLL5 - 25	x (R' U R) D' (R' U' R) D x'	3x3x3 OLL 2-Look-OLL
<img src="OCLL6 - 26.svg">	OCLL6 - 26	R' U' R U' R' U2 R	3x3x3 OLL 2-Look-OLL
<img src="OCLL7 - 27.svg">	OCLL7 - 27	R U R' U R U2 R'	3x3x3 OLL 2-Look-OLL
<img src="T1 - 33.svg">	T1 - 33	(R U R' U')(R' F R F')	3x3x3 OLL
<img src="T2 - 45.svg">	T2 - 45	F (R U R' U') F'	3x3x3 OLL
<img src="S1 - 5.svg">	S1 - 5	(r' U2 R U R' U r)	3x3x3 OLL
<img src="S2 - 6.svg">	S2 - 6	(r U2 R' U' R U' r')	3x3x3 OLL
<img src="C1 - 34.svg">	C1 - 34	(R U R2' U') (R' F R U) R U' F'	3x3x3 OLL
<img src="C2 - 46.svg">	C2 - 46	R' U' (R' F R F') U R	3x3x3 OLL
<img src="W1 - 36.svg">	W1 - 36	(R' U' R U')(R' U R U) (l U' R' U) x	3x3x3 OLL
<img src="W2 - 38.svg">	W2 - 38	(R U R' U)(R U' R' U')(R' F R F')	3x3x3 OLL
<img src="E1 - 28.svg">	E1 - 28	(r U R' U') M (U R U' R')	3x3x3 OLL
<img src="E2 - 57.svg">	E2 - 57	(R U R' U') M' (U R U' r')	3x3x3 OLL
<img src="P1 - 31.svg">	P1 - 31	(R' U' F)(U R U' R') F' R	3x3x3 OLL
<img src="P2 - 32.svg">	P2 - 32	R U B' (U' R' U) (R B R')	3x3x3 OLL
<img src="P3 - 43.svg">	P3 - 43	R' U' F' U F R	3x3x3 OLL
<img src="P4 - 44.svg">	P4 - 44	f (R U R' U') f'	3x3x3 OLL
<img src="I1 - 51.svg">	I1 - 51	f (R U R' U')(R U R' U') f'	3x3x3 OLL
<img src="I2 - 52.svg">	I2 - 52	(R U R' U R U') y (R U' R') F'	3x3x3 OLL
<img src="I3 - 55.svg">	I3 - 55	R U2 R2 U' (R U' R' U2) (F R F')	3x3x3 OLL
<img src="I4 - 56.svg">	I4 - 56	r' U' r (U' R' U R) (U' R' U R) r' U r	3x3x3 OLL
<img src="F1 - 9.svg">	F1 - 9	(R U R' U') R' F (R2 U R' U') F'	3x3x3 OLL
<img src="F2 - 10.svg">	F2 - 10	(R U R' U) (R' F R F') (R U2' R')	3x3x3 OLL
<img src="F3 - 35.svg">	F3 - 35	(R U2) (R2 F R F') (R U2 R')	3x3x3 OLL
<img src="F4 - 37.svg">	F4 - 37	F (R U'  R' U') (R U R' F')	3x3x3 OLL
<img src="K1 - 13.svg">	K1 - 13	(r U' r') (U' r U r') y' (R' U R)	3x3x3 OLL
<img src="K2 - 14.svg">	K2 - 14	(R' F R) (U R' F' R) y' (R U' R')	3x3x3 OLL
<img src="K3 - 15.svg">	K3 - 15	(r' U' r) (R' U' R U) (r' U r)	3x3x3 OLL
<img src="K4 - 16.svg">	K4 - 16	(r U r') (R U R' U') (r U' r')	3x3x3 OLL
<img src="A1 - 29.svg">	A1 - 29	(R U R' U') (R U' R') (F' U' F) (R U R')	3x3x3 OLL
<img src="A2 - 30.svg">	A2 - 30	F U (R U2 R' U') (R U2 R' U') F'	3x3x3 OLL
<img src="A3 - 41.svg">	A3 - 41	(R U R' U R U2' R') F (R U R' U') F'	3x3x3 OLL
<img src="A4 - 42.svg">	A4 - 42	(R' U' R U' R' U2 R) F (R U R' U') F'	3x3x3 OLL
<img src="L1 - 47.svg">	L1 - 47	F' (L' U' L U)(L' U' L U) F	3x3x3 OLL
<img src="L2 - 48.svg">	L2 - 48	F (R U R' U')(R U R' U') F'	3x3x3 OLL
<img src="L3 - 49.svg">	L3 - 49	r U' r2' U r2 U r2' U' r	3x3x3 OLL
<img src="L4 - 50.svg">	L4 - 50	r' U r2 U' r2' U' r2 U r'	3x3x3 OLL
<img src="L5 - 53.svg">	L5 - 53	(r' U' R U') (R' U R U') R' U2 r	3x3x3 OLL
<img src="L6 - 54.svg">	L6 - 54	(r U R' U) (R U' R' U) R U2' r'	3x3x3 OLL
<img src="B1 - 7.svg">	B1 - 7	r U R' U R U2 r'	3x3x3 OLL
<img src="B2 - 8.svg">	B2 - 8	r' U' R U' R' U2 r	3x3x3 OLL
<img src="B3 - 11.svg">	B3 - 11	r' (R2 U R' U R U2 R') U M'	3x3x3 OLL
<img src="B4 - 12.svg">	B4 - 12	M' (R' U' R U' R' U2 R) U' M	3x3x3 OLL
<img src="B5 - 39.svg">	B5 - 39	(L F')(L' U' L U) F U' L'	3x3x3 OLL
<img src="B6 - 40.svg">	B6 - 40	(R' F)(R U R' U') F' U R	3x3x3 OLL
<img src="O1 - 1.svg">	O1 - 1	(R U2)(R2 F R F') U2 (R' F R F')	3x3x3 OLL
<img src="O2 - 2.svg">	O2 - 2	F (R U R' U') F' f (R U R' U') f'	3x3x3 OLL
<img src="O3 - 3.svg">	O3 - 3	f (R U R' U') f' U' F (R U R' U') F'	3x3x3 OLL
<img src="O4 - 4.svg">	O4 - 4	f (R U R' U') f' U F (R U R' U') F'	3x3x3 OLL
<img src="O5 - 17.svg">	O5 - 17	(R U R' U) (R' F R F') U2 (R' F R F')	3x3x3 OLL
<img src="O6 - 18.svg">	O6 - 18	r U R' U R U2 r2 U' R U' R' U2 r	3x3x3 OLL
<img src="O7 - 19.svg">	O7 - 19	r' U2 R U R' U r2 U2 R' U' R U' r'	3x3x3 OLL
<img src="O8 - 20.svg">	O8 - 20	M U (R U R' U') M2 (U R U' r')	3x3x3 OLL
